crab,rep,c4_0,c6_0,c8_0,c10_0,c11_0,c12_0,c13_0,c14_0,c15_0,c16_0,c17_0,c20_0,c22_0,c24_0,c14_1,c16_1,c24_1,c20_2,c22_2,c18_2n6t,c18_3n3,c20_3n3,c20_4n6
PS,14,18.3797,23.2319,42.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,15,0.0000,23.6564,46.6241,14.2045,0.0000,0.0000,12.4152,0.0000,0.0000,0.0000,13.0828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,16,0.0000,28.9792,19.4718,21.7521,0.0000,0.0000,6.3412,0.0000,7.1701,0.0000,16.2856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,17,0.0000,18.0910,15.4020,26.2728,0.0000,5.1588,0.0000,0.0000,0.0000,0.0000,35.0754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,18,0.0000,27.2057,14.0498,32.2216,0.0000,5.7844,0.0000,0.0000,0.0000,0.0000,20.7385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,19,0.0000,20.8735,19.1551,22.5764,5.3453,4.5029,17.0060,0.0000,0.0000,0.0000,10.5407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,20,0.0000,30.5231,11.0774,32.8071,0.0000,6.9375,0.0000,0.0000,0.0000,0.0000,18.6548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,21,12.5327,19.7336,5.0644,9.3308,0.0000,3.4024,0.0000,22.8521,0.0000,0.0000,18.1310,0.0000,7.0564,0.0000,0.0000,0.0000,0.0000,1.8966,0.0000,0.0000,0.0000,0.0000,0.0000
PS,22,16.9123,20.8730,6.2669,13.0123,0.0000,3.1463,4.0396,10.9706,0.0000,0.0000,24.7791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,23,43.2721,13.0824,4.5757,0.0000,0.0000,0.0000,3.1738,3.7681,0.0000,0.0000,20.0663,0.0000,8.8864,0.0000,0.0000,0.0000,0.0000,3.1753,0.0000,0.0000,0.0000,0.0000,0.0000
PS,24,8.6828,19.7158,8.4231,13.5645,0.0000,4.2652,0.0000,0.0000,0.0000,0.0000,42.3720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9765,0.0000
PS,25,0.0000,26.4318,12.0756,31.7112,0.0000,9.7493,0.0000,0.0000,0.0000,0.0000,20.0321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,26,0.0000,58.6820,22.1861,0.0000,0.0000,6.4102,0.0000,0.0000,0.0000,0.0000,19.1319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,27,0.0000,33.3309,9.7647,35.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,28,0.0000,24.5441,21.9147,23.1603,0.0000,0.0000,8.3660,0.0000,8.3050,0.0000,13.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,29,0.0000,55.5435,8.3106,25.2714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PS,30,0.0000,25.2863,3.6220,39.0145,27.9133,0.0000,0.0000,0.0000,0.0000,0.0000,4.1639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
