"","Place","Fish","Rep","Fish.wt","Fish.lt","Oto.wd","Oto.lt","Oto.wt","Ca","Sr","Ba","Mn","Zn","K","Pb","Cu"
"186","SKN",12,3,28.1,13.3,4.2,7.2,0.045,-0.420473730550116,0.6360738627543,-0.351771162215369,0.408087839545098,0.578417181515274,0.423786655483985,-0.0559807529117377,-0.156571378816593
"187","SKN",13,1,24.7,12.9,4.1,6.9,0.0421,0.888658041227074,-0.392155102632085,-0.51247879977569,-0.589953072385848,-0.57329844539567,-0.707987795363453,-0.0559807529117377,-0.156571378816593
"188","SKN",13,2,24.7,12.9,4.1,6.9,0.0421,0.190454429612548,-0.00656924061219031,-0.191063524655048,-0.589953072385848,-0.57329844539567,-0.707987795363453,-0.0559807529117377,1.28132903888681
"189","SKN",13,3,24.7,12.9,4.1,6.9,0.0421,-0.682300084905579,-0.135097861285489,0.612474663146556,1.40612875147604,0.578417181515274,0.140843042772126,-0.0559807529117377,1.28132903888681
"190","SKN",14,1,19.5,11.6,3.9,6.7,0.0409,0.190454429612548,0.121959380061107,-0.51247879977569,0.408087839545098,-0.57329844539567,-0.142100569939733,-0.0559807529117377,-0.156571378816593
"191","SKN",14,2,19.5,11.6,3.9,6.7,0.0409,0.539556235419873,-0.135097861285489,-0.994601712456652,-0.589953072385848,0.578417181515274,0.423786655483985,1.14360680948264,0.56237883003511
"192","SKN",14,3,19.5,11.6,3.9,6.7,0.0409,0.539556235419873,-0.00656924061219031,-0.833894074896331,-0.589953072385848,0.578417181515274,-0.990931408075312,1.14360680948264,1.28132903888681
"193","SKN",15,1,19,11.9,3.8,6.4,0.033,0.888658041227074,-0.392155102632085,-0.51247879977569,0.408087839545098,-0.57329844539567,-0.990931408075312,-0.0559807529117377,-0.156571378816593
"194","SKN",15,2,19,11.9,3.8,6.4,0.033,0.539556235419873,-0.135097861285489,-0.673186437336011,0.408087839545098,-0.57329844539567,-0.707987795363453,-1.25556831530612,2.00027924773852
"195","SKN",15,3,19,11.9,3.8,6.4,0.033,-0.507749182001979,-0.777740964651979,1.25530521338784,4.40025148726888,1.73013280842622,-0.142100569939733,-1.25556831530612,-0.156571378816593
"196","SKN",16,1,25,12.7,3.8,6.9,0.0339,0.452280783968011,-0.00656924061219031,-0.51247879977569,0.408087839545098,-0.57329844539567,-0.425044182651593,-0.0559807529117377,-0.156571378816593
"197","SKN",16,2,25,12.7,3.8,6.9,0.0339,0.801382589775336,0.121959380061107,-1.31601698757729,1.40612875147604,-0.57329844539567,-0.707987795363453,-0.0559807529117377,0.56237883003511
"198","SKN",16,3,25,12.7,3.8,6.9,0.0339,-0.420473730550116,-0.135097861285489,0.291059388025914,-0.589953072385848,0.578417181515274,0.989673880907704,-0.0559807529117377,0.56237883003511
"199","SKN",17,1,34.8,14.2,4.4,7.7,0.0618,-0.0713719247429153,-0.777740964651979,0.773182300706877,0.408087839545098,-0.57329844539567,0.423786655483985,1.14360680948264,-0.156571378816593
"200","SKN",17,2,34.8,14.2,4.4,7.7,0.0618,-0.158647376194654,-0.135097861285489,0.291059388025914,0.408087839545098,-0.57329844539567,0.423786655483985,-0.0559807529117377,-0.156571378816593
"201","SKN",17,3,34.8,14.2,4.4,7.7,0.0618,-0.682300084905579,-0.520683723305383,2.05884340118944,-0.589953072385848,0.578417181515274,-0.142100569939733,-0.0559807529117377,0.56237883003511
"202","SKN",18,1,22.7,12.6,3.3,6.4,0.033,0.888658041227074,-0.392155102632085,0.291059388025914,0.408087839545098,-0.57329844539567,-1.55681863349903,-1.25556831530612,-1.59447179652
"203","SKN",18,2,22.7,12.6,3.3,6.4,0.033,0.714107138323473,-0.263626481958787,-0.994601712456652,1.40612875147604,-0.57329844539567,-0.425044182651593,-0.0559807529117377,0.56237883003511
