Place,Fish,Rep,Fish.wt,Fish.lt,Oto.wd,Oto.lt,Oto.wt,Ca,Sr,Ba,Mn,Zn,K,Pb,Cu
CTI,32,1,27.86,13.60,3.90,7.10,0.0483,99.22,0.39,0.19,0.01,0.00,0.16,0.00,0.04
CTI,32,2,27.86,13.60,3.90,7.10,0.0483,99.25,0.40,0.13,0.02,0.00,0.18,0.00,0.02
CTI,32,3,27.86,13.60,3.90,7.10,0.0483,99.17,0.44,0.15,0.02,0.00,0.21,0.00,0.01
CTI,33,1,27.79,13.90,4.10,7.30,0.0533,99.32,0.40,0.12,0.00,0.00,0.16,-0.01,0.01
CTI,33,2,27.79,13.90,4.10,7.30,0.0533,99.33,0.43,0.11,0.00,0.00,0.11,0.00,0.01
CTI,33,3,27.79,13.90,4.10,7.30,0.0533,99.29,0.47,0.00,0.02,0.01,0.16,0.01,0.03
CTI,34,1,28.98,13.60,4.00,7.40,0.0515,99.27,0.39,0.13,0.01,0.00,0.16,0.00,0.02
CTI,34,2,28.98,13.60,4.00,7.40,0.0515,99.32,0.40,0.07,0.01,0.01,0.16,0.01,0.03
CTI,34,3,28.98,13.60,4.00,7.40,0.0515,99.16,0.39,0.15,0.03,0.00,0.22,0.00,0.04
CTI,35,1,25.35,13.10,4.00,6.80,0.0445,99.28,0.41,0.13,0.01,0.01,0.13,0.00,0.02
CTI,35,2,25.35,13.10,4.00,6.80,0.0445,99.39,0.41,0.05,0.01,0.00,0.12,0.00,0.02
CTI,35,3,25.35,13.10,4.00,6.80,0.0445,99.27,0.41,0.08,0.02,0.01,0.18,0.00,0.03
CTI,36,1,25.97,13.20,4.00,7.00,0.0414,99.35,0.30,0.16,0.01,0.00,0.15,0.00,0.03
CTI,36,2,25.97,13.20,4.00,7.00,0.0414,99.50,0.27,0.04,0.01,0.00,0.13,0.01,0.04
CTI,36,3,25.97,13.20,4.00,7.00,0.0414,99.40,0.28,0.15,0.00,0.01,0.14,-0.01,0.01
CTI,37,1,22.27,12.30,4.10,6.60,0.0445,99.36,0.34,0.14,0.01,0.00,0.15,-0.01,0.00
CTI,37,2,22.27,12.30,4.10,6.60,0.0445,99.32,0.37,0.11,0.02,0.00,0.17,0.00,0.01
CTI,37,3,22.27,12.30,4.10,6.60,0.0445,99.38,0.37,0.07,0.01,0.01,0.14,0.01,0.02
CTI,38,1,24.01,12.90,4.10,6.90,0.0429,99.17,0.39,0.24,0.03,0.00,0.13,0.00,0.05
CTI,38,2,24.01,12.90,4.10,6.90,0.0429,99.26,0.44,0.10,0.02,0.00,0.14,0.00,0.04
CTI,38,3,24.01,12.90,4.10,6.90,0.0429,99.12,0.49,0.14,0.01,0.00,0.23,-0.01,0.02
CTI,39,1,24.42,13.00,3.80,6.90,0.0435,99.26,0.42,0.13,0.02,0.00,0.15,0.00,0.01
CTI,39,2,24.42,13.00,3.80,6.90,0.0435,99.30,0.45,0.09,0.01,0.00,0.15,0.00,0.01
CTI,39,3,24.42,13.00,3.80,6.90,0.0435,99.22,0.48,0.07,0.01,0.01,0.18,0.00,0.03
CTI,40,1,25.89,13.30,3.90,7.00,0.0475,99.17,0.49,0.17,0.01,0.00,0.19,-0.01,-0.01
CTI,40,2,25.89,13.30,3.90,7.00,0.0475,99.31,0.44,0.06,0.01,0.00,0.16,0.00,0.02
CTI,40,3,25.89,13.30,3.90,7.00,0.0475,99.19,0.48,0.12,0.01,0.00,0.18,0.00,0.02
CTI,41,1,22.23,12.70,4.00,7.00,0.0431,99.23,0.44,0.14,0.00,0.00,0.17,-0.01,0.03
CTI,41,2,22.23,12.70,4.00,7.00,0.0431,99.33,0.42,0.05,0.01,0.00,0.16,0.00,0.02
CTI,41,3,22.23,12.70,4.00,7.00,0.0431,99.28,0.46,0.07,0.02,0.00,0.13,0.01,0.03
PKN,1,1,34.60,13.90,4.30,7.60,0.0577,99.24,0.49,0.14,0.01,0.00,0.13,-0.01,0.00
PKN,1,2,34.60,13.90,4.30,7.60,0.0577,99.17,0.48,0.14,0.02,0.00,0.19,-0.02,0.01
PKN,1,3,34.60,13.90,4.30,7.60,0.0577,99.05,0.47,0.21,0.01,0.02,0.23,-0.02,0.02
PKN,2,1,35.30,14.20,4.10,7.20,0.0506,99.19,0.45,0.15,0.02,0.00,0.18,0.00,0.01
PKN,2,2,35.30,14.20,4.10,7.20,0.0506,99.31,0.43,0.06,0.01,0.00,0.16,0.01,0.01
PKN,2,3,35.30,14.20,4.10,7.20,0.0506,99.21,0.44,0.10,0.02,0.04,0.19,-0.01,0.02
PKN,3,1,41.70,14.70,4.40,7.10,0.0535,99.18,0.49,0.13,0.01,0.00,0.18,0.00,0.00
PKN,3,2,41.70,14.70,4.40,7.10,0.0535,99.24,0.53,0.06,0.00,0.00,0.15,0.00,0.02
PKN,3,3,41.70,14.70,4.40,7.10,0.0535,99.15,0.54,0.06,0.02,0.01,0.18,0.00,0.03
PKN,4,1,32.70,13.90,4.20,6.50,0.0487,99.26,0.46,0.10,0.01,0.00,0.16,0.00,0.01
PKN,4,2,32.70,13.90,4.20,6.50,0.0487,99.26,0.48,0.05,0.01,0.01,0.18,0.00,0.02
PKN,4,3,32.70,13.90,4.20,6.50,0.0487,99.11,0.61,0.09,0.01,0.00,0.15,-0.01,0.03
PKN,5,1,51.00,15.40,4.60,7.90,0.0639,99.30,0.43,0.10,0.00,0.00,0.16,0.00,0.01
PKN,5,2,51.00,15.40,4.60,7.90,0.0639,99.33,0.43,0.07,0.01,0.00,0.13,0.01,0.02
PKN,5,3,51.00,15.40,4.60,7.90,0.0639,99.23,0.46,0.08,0.02,0.01,0.18,0.00,0.03
PKN,6,1,32.50,13.60,3.90,6.90,0.0457,99.34,0.40,0.09,0.02,0.00,0.13,0.00,0.02
PKN,6,2,32.50,13.60,3.90,6.90,0.0457,99.34,0.44,0.06,0.01,0.00,0.15,0.00,0.01
