Month,Batch,Distance,No,Length,Width
Jan,21,130,1,2.2,1.3
Jan,21,130,2,1,0.8
Jan,22,10,1,1.3,1.5
Jan,22,40,1,2,1.5
Jan,22,40,2,1,1.3
Jan,22,70,1,1.5,1.5
Jan,22,70,2,1.5,1.5
Jan,22,70,3,2,2.5
Jan,22,100,1,1.1,1
Jan,22,100,2,1.5,2.1
Jan,22,100,3,2,2.5
Jan,22,100,4,1.8,1.5
Jan,22,100,5,0.9,1
Jan,22,130,1,1.8,1.9
Jan,22,130,2,1.3,1.2
Jan,22,130,3,1,1
Jan,22,130,4,1.5,1.4
Jan,22,130,5,1.3,1.2
Jan,22,130,6,1,0.8
Jan,22,130,7,3,2.8
Jan,23,40,1,1.5,2
Jan,23,70,1,2,1.5
Jan,23,70,2,1.5,1
Jan,23,70,3,1.5,1
Jan,23,70,4,1,1.3
Jan,23,70,5,1,1.5
Jan,23,70,6,1,1
Jan,24,40,1,2,2
Jan,24,70,1,2,2
Jan,24,70,2,1.5,2
Jan,24,70,3,2,2.5
Jan,24,70,4,2.5,2.5
Jan,24,70,5,1,1.3
Jan,24,100,1,0.9,0.8
Jan,24,130,1,1.4,0.6
Jan,24,130,2,1,0.6
Jan,25,10,1,1.5,2
Jan,25,40,1,1.5,1.5
Jan,25,40,2,1,0.8
Jan,25,70,1,3,3
Jan,25,70,2,1,1.5
Jan,25,70,3,1.5,1.5
Jan,25,70,4,2.5,1.5
Jan,25,70,5,2,1.5
Jan,25,100,1,3,2.5
Jan,25,100,2,2.9,2.5
Jan,25,100,3,2,1.5
Jan,25,100,4,1.1,1.2
Jan,25,100,5,1.1,0.9
Jan,25,130,1,1.1,1.4
Jan,25,130,2,1,1
Jan,25,130,3,1,0.9
Jan,25,130,4,0.5,0.6
Jan,26,10,1,0.5,0.7
Jan,26,70,1,2.5,3
Jan,26,70,2,1.5,1.5
Jan,26,70,3,2,0.5
Jan,26,70,4,1.5,2
Jan,26,70,5,1,1.5
Jan,26,70,6,2.5,1
Jan,26,100,1,3,3.5
Jan,26,100,2,2.9,2.2
Jan,26,100,3,3.2,2.5
Jan,26,100,4,2.8,2.9
Jan,26,100,5,3,2.3
Jan,26,100,6,3,1.7
Jan,26,100,7,2.5,1.9
Jan,26,100,8,1.8,1.6
Jan,26,130,1,2.4,1.5
Jan,26,130,2,1.8,1.3
Jan,26,130,3,1.1,1
Jan,26,130,4,1.2,2.3
Jan,26,130,5,1.2,1.4
Jan,27,40,1,1.5,1.5
Jan,27,70,1,1,1.5
Jan,27,70,2,1,1
Jan,27,70,3,1.5,1.5
Jan,27,70,4,1,0.8
Jan,27,100,1,1.3,1.5
Jan,27,100,2,1.6,2.4
Jan,27,100,3,1.1,1.5
Jan,27,100,4,1.3,1
Jan,27,100,5,1.2,1.1
Jan,27,100,6,1.3,2.1
Jan,27,130,1,1.4,1.2
Jan,27,130,2,1.3,1.9
Jan,28,10,1,1.5,1.5
Jan,28,40,1,2,1.5
Jan,28,40,2,2.5,1
Jan,28,40,3,1,1.5
Jan,28,40,4,2.5,2
Jan,28,70,1,2.5,2
Jan,28,100,1,4.5,3.9
Jan,28,100,2,3.4,2.3
Jan,28,100,3,2,1.7
Jan,28,100,4,3.5,2.5
Jan,28,100,5,1,1.4
Jan,28,130,1,1.9,1.4
Jan,28,130,2,1.2,1.3
Jan,28,130,3,1.4,0.9
Jan,28,130,4,1.2,1.1
Jan,28,130,5,1,1.1
Jan,28,130,6,1.2,1.3
Jan,29,70,1,1.5,1.5
Jan,29,70,2,1,2
Jan,29,100,1,4.5,4
Jan,29,100,2,4,2.6
Jan,29,100,3,3,2.5
Jan,29,100,4,1.5,1
Jan,29,100,5,1,1.1
Jan,29,130,1,3.4,2.5
Jan,30,10,1,2,2.5
Jan,30,70,1,1,0.7
Jan,30,70,2,1.5,1
Jan,30,70,3,3.5,1.3
Jan,30,70,4,1,1
Jan,30,100,1,2.1,1.5
Jan,30,100,2,3,2
Jan,30,100,3,3.5,1.5
Jan,30,100,4,1.5,1.8
Jan,30,100,5,2,1.5
Jan,30,130,1,1,1.1
Jan,30,130,2,2,1
Jan,30,130,3,1.6,1.4
Jan,30,130,4,1.5,1.4
Jan,30,130,5,1.3,1
Jan,30,130,6,1.4,0.8
Jan,30,130,7,0.9,1
Jan,30,130,8,1.1,1
Jan,31,40,1,1,0.5
Jan,31,40,2,1.5,2
Jan,31,70,1,2,1.5
Jan,31,70,2,1.5,1.5
Jan,31,70,3,1.5,1
Jan,31,70,4,0.5,0.8
Jan,31,100,1,1.3,0.9
